iter,gap,welfare,mean_pi,demand_mbps,supply_mbps
1,0.14120788985270152,9.699418286872405,0.3263976668946719,11.833166622994085,10.000000000000453
2,0.3554810957586317,9.636361316055412,0.34065256778545755,11.802150845247516,10.000000000000124
3,0.36123624871844895,9.469021581988333,0.3459911320987399,11.289480986539427,9.999999999999385
4,0.25168295663730594,9.608879318855813,0.3473966122193924,11.639416030913022,9.999999999999282
5,0.2905444323008454,9.50356399953973,0.35064917799502804,11.331479298004487,10.000000000000384
6,0.29385426065070236,9.516973091095197,0.35321777084345474,11.41100135261489,9.99999999999958
7,0.28807021690733237,9.493455488554996,0.3552736280203737,11.299754741477255,10.00000000000016
8,0.22733696900344955,9.489036219438246,0.3564132961207427,11.289084848078147,10.000000000000282
9,0.2315847539305491,9.476318935553843,0.3585952926716767,11.228260646801512,9.999999999999456
10,0.18040994039755495,9.457004959510122,0.35994004876077357,11.180036784220551,10.000000000000028
11,0.18563441740882636,9.44283174575988,0.3620868589876831,11.1230221116002,10.00000000000003
12,0.1447740810021153,9.42176111211427,0.3635578850708767,11.07233174787254,10.000000000000291
13,0.1497160475150348,9.407124984435857,0.3656273612134718,11.019071756166918,9.999999999998888
14,0.11706213821086714,9.385732088739198,0.3671573021160306,10.968369927535816,10.000000000000904
15,0.12097937395636826,9.37132307222428,0.36911442057516924,10.919311246534535,10.00000000000072
16,0.09500867328186663,9.350425542886686,0.3706517764108683,10.870113761916699,10.000000000000133
17,0.09764655341686057,9.336637204250016,0.37247487572952637,10.825474415561459,9.99999999999964
18,0.07719079610464338,9.316749447130865,0.3739810439815064,10.778797877019585,9.999999999999865
19,0.07854530619157539,9.303780054776782,0.37565877286884053,10.738529056925845,9.999999999998426
20,0.0626754397688302,9.285235060139327,0.3771059007907079,10.695059385764498,10.00000000000035
21,0.06286223283859392,9.273148577925781,0.3786347443399372,10.658890824933204,9.999999999999169
22,0.050868262417122924,9.256164973765893,0.38000173537708143,10.619090275620724,9.99999999999995
23,0.05007666222494483,9.244960920075457,0.3813823842914447,10.586667633232683,9.999999999999838
24,0.04140602799477644,9.229697923319817,0.3826494257110135,10.550876838809476,9.999999999998424
25,0.03991594138753525,9.219395448877108,0.38388637678286436,10.521974476902937,10.00000000000005
26,0.0338580505395902,9.205897011876692,0.38504207853502503,10.49025112704281,9.999999999999543
27,0.03198189084213216,9.196477487956948,0.3861442281433151,10.464604047926588,9.999999999999131
28,0.02792526550807784,9.184727165271388,0.38718253743300785,10.436887280640017,9.99999999999973
29,0.025963090183741152,9.176115111847837,0.3881617658184089,10.414089436174486,10.0000000000004
30,0.02332945105246273,9.166018995546384,0.38908455402454317,10.390156594538379,9.999999999999183
31,0.0216441737081159,9.158179241356574,0.3899503870503016,10.369907167098576,10.000000000000515
32,0.019905025067040817,9.149549033239786,0.39076497758546735,10.349335990436783,10.000000000000004
33,0.018589502824566506,9.142463939165753,0.39152808499536706,10.331396403024941,9.999999999999677
34,0.01736835872623758,9.135070237867327,0.3922452597069596,10.313681415925322,10.000000000000036
35,0.01634798222901627,9.12871041300403,0.3929174364545626,10.297822580034723,9.99999999999963
36,0.015418631257512543,9.122333704228183,0.3935491293590015,10.282482405300192,9.999999999999496
37,0.014595000094699277,9.116652479589835,0.39414204647691564,10.268474941189819,10.000000000000556
38,0.013836396496605542,9.111107336151418,0.3946996869359279,10.255101100557392,10.000000000000465
39,0.013141688831417524,9.106045786912906,0.39522402064927825,10.242722186247244,9.999999999999277
40,0.012493967031896152,9.101185381873899,0.3957177641593039,10.23098673141047,10.000000000000346
41,0.011890916089614826,9.09667942726755,0.3961828363928599,10.220029153346069,10.00000000000062
42,0.011324773483588407,9.092390394862315,0.3966213906900638,10.2096733826715,9.999999999999657
43,0.010793548329878356,9.088376511383844,0.39703516009326933,10.19995122673671,9.99999999999974
44,0.010293166422156028,9.08457113140658,0.3974258939122897,10.19076996790885,10.000000000000998
45,0.009821837218198669,9.080989959776804,0.3977951047067337,10.182120508254007,10.000000000000055
46,0.009377018248497265,9.077599094517197,0.39814424324437264,10.173948404304316,9.99999999999922
47,0.008957071623369934,9.074397232215416,0.39847461133400697,10.166231364436749,10.000000000000641
48,0.00856015264567298,9.071365059001167,0.3987874301060949,10.158932728665278,9.999999999998995
49,0.008184797864244073,9.068495573141822,0.39908381544281424,10.152028139494607,10.000000000000759
50,0.007829541438117395,9.065776002746944,0.3993648054821299,10.145489909422027,10.000000000000965
51,0.007493105250962458,9.063198176282064,0.3996313573224353,10.13929544418216,10.000000000000412
52,0.00717427192393018,9.060752495271291,0.39988435961538865,10.133422309709834,9.999999999999936
53,0.006871938075838148,9.058431203408803,0.4001246354397788,10.127850623955878,10.000000000000282
54,0.006585071972997316,9.056226499889737,0.4003529494158007,10.122561555790076,9.999999999999865
55,0.006312724039071807,9.054131473775188,0.40057001176283435,10.117537891522897,9.999999999999087
56,0.006054010988909976,9.052139536839462,0.4007764831849198,10.112763559598115,10.000000000000036
57,0.005808114614857609,9.050244651891015,0.40097297868476733,10.108223699313951,10.00000000000044
58,0.005574274110677477,9.048441157715741,0.4011600713246622,10.10390447755595,9.999999999999648
59,0.005351782396963944,9.046723803371394,0.4013382954970985,10.09979304205401,10.00000000000134
60,0.0051399812164107635,9.045087683715394,0.40150814996828865,10.09587742289362,10.000000000000572
61,0.004938257438770196,9.043528227301858,0.40167010061803166,10.092146469436424,10.000000000000545
62,0.004746039358480206,9.04204116324091,0.40182458295239426,10.088589781273209,10.000000000001167
63,0.0045627934896075905,9.040622501360218,0.40197200439119535,10.085197650794033,9.999999999999515
64,0.004388021576941166,9.03926850938069,0.40211274636150635,10.081961008672497,10.00000000000046
65,0.004221257905201795,9.03797569420655,0.4022471662120372,10.078871375203057,9.999999999999972
66,0.004062066829617838,9.036740783887193,0.4023755989672666,10.075920815523038,10.000000000001192
67,0.003910040527405928,9.035560711516695,0.4024983589357411,10.073101898903937,9.99999999999973
68,0.0037647969376421934,9.034432600311941,0.4026157411865046,10.070407661473583,10.00000000000159
69,0.0036259778785179514,9.033353749999431,0.4027280229056787,10.067831572128473,10.000000000000275
70,0.003493247319071888,9.032321624288718,0.4028354646442394,10.065367501295833,10.00000000000002
71,0.0033662897958147927,9.03133383937143,0.4029383114667305,10.063009692283199,10.00000000000086
72,0.003244808957608001,9.030388153337343,0.40303679400981324,10.060752734972393,9.999999999998547
73,0.0031285262274801332,9.029482456429125,0.40313112945858837,10.058591541639395,9.999999999999938
74,0.003017179573071536,9.028614762061503,0.403221522447845,10.056521324707951,10.000000000000423
75,0.0029105223720145568,9.027783198534163,0.4033081658947777,10.054537576257859,9.999999999999273
76,0.0028083223670630196,9.026986001380926,0.40339124176896884,10.052636049135618,9.999999999999424
77,0.0027103607019071845,9.026221506298844,0.4034709218049637,10.05081273952283,10.000000000001084
78,0.002616431030777452,9.02548814260822,0.40354736816225173,10.049063870837179,9.99999999999965
79,0.0025263386942965746,9.024784427197407,0.4036207340370046,10.04738587884875,10.000000000000462
80,0.002439899958741594,9.024108958914434,0.4036911642295,10.045775397910546,10.000000000000444
81,0.0023569413104241334,9.023460413365562,0.40375879567087986,10.0442292482068,10.000000000001194
82,0.002277298802398879,9.022837538089469,0.40382375791246355,10.042744423935064,10.000000000000922
83,0.0022008174483965615,9.022239148076034,0.4038861735806314,10.041318082345814,9.9999999999989
84,0.002127350660233922,9.021664121601537,0.4039461587999725,10.039947533567643,10.000000000000098
85,0.0020567597263735703,9.02111139635653,0.4040038235871783,10.038630231156166,10.0000000000001
86,0.001988913325524491,9.020579965840835,0.4040592722179723,10.037363763306216,10.000000000000352
87,0.0019236870758024798,9.020068876008715,0.4041126035691014,10.036145844680158,10.000000000001245
88,0.0018609631143529821,9.019577222140633,0.4041639114373174,10.034974308796095,10.0000000000001
89,0.0018006297057880558,9.019104145926773,0.4042132848370703,10.033847100938512,10.000000000001524
90,0.0017425808780530835,9.018648832747223,0.40426080827848904,10.032762271550677,10.000000000000965
91,0.0016867160817993243,9.018210509130288,0.40430656202714466,10.031717970067465,9.99999999999832
92,0.001632939872824025,9.01778844037983,0.4043506223468887,10.030712439161771,10.000000000000485
93,0.0015811616167861141,9.01738192835714,0.40439306172701733,10.029744009368475,10.000000000000323
94,0.001531295211059477,9.016990309405339,0.40443394909491853,10.028811094060428,10.000000000000668
95,0.001483258826736686,9.016612952407664,0.40447335001518425,10.027912184749539,9.999999999999687
96,0.0014369746660003455,9.016249256969108,0.4045113268761953,10.027045846690557,9.999999999999481
97,0.0013923687357000347,9.015898651713146,0.4045479390650329,10.026210714765075,10.000000000000433
98,0.00134937063561024,9.015560592684762,0.40458324313154775,10.02540548962505,9.999999999998764
99,0.001307913358449516,9.015234561852138,0.4046172929423349,10.02462893407769,10.000000000000094
100,0.0012679331047134594,9.014920065701839,0.40465013982528464,10.023879869695872,9.999999999999966
101,0.0012293691069504668,9.014616633918598,0.4046818327053951,10.023157173636747,10.000000000000636
102,0.0011921634662940782,9.014323818146824,0.40471241823239157,10.022459775656905,9.99999999999946
103,0.0011562609976215007,9.014041190824495,0.4047419409007391,10.021786655305169,9.999999999999941
104,0.0011216090856958432,9.013768344088783,0.40477044316252203,10.021136839287816,10.000000000001052
105,0.001088157548679866,9.013504888745777,0.404797965533694,10.020509398990006,10.000000000000053
106,0.001055858509960194,9.013250453299865,0.4048245466941149,10.019903448142458,9.999999999999304
107,0.0010246662782245153,9.0130046830423,0.40485022358177086,10.01931814063001,10.000000000000794
108,0.0009945372343763182,9.012767239189849,0.4048750314815756,10.018752668422042,9.999999999999321
